id,meterologist,degen
188,terra10xwk4mc5fhkn6jmucrlgwqjk24zhxq7s8kxege,23
189,terra10y46fvje309fs3drjln3hw6t5q9zg3zygspkud,1
190,terra10yczfahyqphs6xvs7fw0nukz92jfw80tf7la8w,22
191,terra10ygw77yx856zcqwpzzjrz5jtwqmpgeq3j53ywl,12
192,terra10yhe0gxaq97ccqmgteggfqr9cl3dgckjjg6n5y,30
193,terra10ykawa49nr9rnpncce082jtpfes6z2dzgln9hs,4
194,terra10yl966eg937w2h7xzpg9sx8alwempd42803dhj,9
195,terra10yp2gh2z7hpnm45eq4ny4n0yl82juht75nhc9w,19
196,terra10yu3a94zumcfcudsff56xryyt40sgdav7cxjqu,9
197,terra10yxan7x3ug0cd8qaev849edm4ajy9zfe0pm3xa,22
198,terra10zc2vzwr7teu7rw49w4k49chajpx6g0w3gh8cq,25
199,terra10zdhgllxgd4urfcc4rakprm2ncwywy453pj9u5,26
200,terra10zk3ce4s0mrykzgjn6lgyta98x8deqf2t78rjx,4
201,terra10zmyauffrsp07fq2luz4cm3ykl4yh3r28s58fd,4
202,terra10zs24g9g5y42ulh0nxmsvlszqam57p554tywky,1
203,terra10zt8j3l2p9dy24kdn8ctlupz9c0l0gtwar7nuv,24
204,terra10zwz3upgay9l5kyf7pvgtgpl24nf9c0p9j8t6z,8
205,terra12057tjrjsjss9xwqr0tz4sul6rrp9fjsplwqjc,2
206,terra1209j4jjt6976wk5ad6wd6dvtl28ggm4y058l82,7
207,terra120akx7zuqn2uhy9naknct08cajkjr2e2ls5kng,30
208,terra120sqzlx0e4zqkyr4fmey3dk7jaxzxjzh2ewzus,29
209,terra120uaed73tp8fgy3dnuzgdzq88p3tw7fc3xph02,25
210,terra122m3jsqxd8ulswmj95948awd24zg73z5k4reuf,9
211,terra122mr2q92860v3tqdamrsgfz7r6w4azuwtg9rfp,25
212,terra122ry8yvga3mpdfwzn222ej3pns2s7mt6xhxy3a,5
213,terra122zzy804hsxwechr780ec8l2qvm5nm6gxf3hyr,24
214,terra12364v885s0kze5xjurhegnmcef45fmet5e76nx,7
215,terra1237a8r7qs8ewqwwyycn59tdq9zz2r0s3rlr5r7,30
216,terra123hc3m5hdmplk88hzgq6ppl66t6czmcqjknfun,27
217,terra123n75aa2a9acvqsvglfzjjd7m3s2vedu8qwxvd,13
218,terra123tnc0kpwe9ahmk6xdtj6s9hf6yuaa0e39p590,27
219,terra123vq9ntsw0x9hfgw87h3zgatqf00r50vjvw8l6,17
220,terra12455shyfqy049cnhe6y6jdf55zcn2ck8pja99p,29
221,terra1246ajmaqhsx2wqayrekuyeayupvn868tajjk09,8
222,terra1249rex29qagcwss2vh4cyzc6ye5yxm9qjsh3km,23
223,terra124kx27fy2vvepa2nqnfkqkhqesm9skhg0aqx52,10
224,terra124m5y7f6t5k92yrga4rkurgeejm8adw0amwxxg,22
225,terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de,29
226,terra1259c2xgdfk55kp75eahgc2ck9kn3cvve884ake,25
227,terra125l8rr7g89ksznlhf08jmkxsfm03jm3kz33fhh,16
228,terra125p40t9p6rgz77rdek8ll6cmltk9vl9sdpc5h2,3
229,terra125p6l8rcuncs2jwkyvapgpfcgnf0vmg80hnxgz,25
230,terra125q586q862rmy45n5k2t3cfk462fu7kesxvlr6,27
231,terra125vhmgxttdctas6rcqzerkpm8grsq6h5j2haxn,5
232,terra125xx96nd90w9rxr509qmmruzx4jlhnj2rxxhmw,16
233,terra12606x2pvllgmdnq2tzsals35ah5nywzws0y6l0,2
234,terra12668fgtdsqvvg2z74q92rn8z3hfcvmwvv0nnnu,19
235,terra12750enyr7yw3xdam8f3d2jmpx9mc22w4hyjzrj,2
236,terra127aluafgyezjf4kmjzxa776qj0g6uqa5nz3n5s,6
237,terra127qa4p5340v7pnwfqq5pmsguyjwjaxp7rrj4gs,10
238,terra127ywe3zquvp4hee4zw3c8urnqk7uj3pv4hw2qr,30
239,terra127zyclke4d6x2uzj0j8pnrjxq65ry0qctv5hge,21
240,terra1284uzgvuwlc0vdsc5j3cgw0qf45ykwc6l5kvw3,13
241,terra1285rvat7h565g2cl4as25q6c3y5yfn33gcpvaq,7
242,terra128ddykn6ql53y955cv7tse9f2gdqe75zs83xqj,1
243,terra128ejcz9c5mxauayda8a0vpf8ensdj2rpz43p9a,14
244,terra128f9dqwge593q8fthfrspgrkwjxu6sluv6nu8w,24
245,terra128n906py60t4swjrhsq0u4g95p3arshtus8c8z,24
246,terra128p2wvkseukv9xg4rvmk5fv3dpausrsv8fppnh,4
247,terra128pwjwtxs4rft8l8r88wl5qa8gt2yhxt2g4jty,2
248,terra128vcs80cgtfdzez5858ga0wjnry0xpn68cd54q,30
249,terra1295etyk99ra5x3e2suvyp5yv7jd5wcrys9hmc2,27
250,terra1296uga9vaxr4573zaw65d3dvyp9ea0rxr3yk4g,12
251,terra1298xwc9mguh3vs3ar00asxq07h8p6k77jc9502,30
252,terra129etxfnerdefcclwqw5kc02v8z0689hlt937ke,26
253,terra129jk7nkptzcnmsdr6cxa6zu9mm8lgnvwfrlmpa,17
254,terra129kdy7qdk5r4qgrenqdd6ftjjuvcc3hqsy0fgt,26
255,terra129n3pj9we3pt4ml87e80g3d2ujf00qh8grhfnk,22
256,terra129ptxmdulh6hh0x34pquawu84npx4wgh6d3qm3,2
257,terra129s4fwqjkaantx4rtptuaygf6pjclevgheqr0w,2
258,terra129wnsm2q8xy3dps3a4k9aflx488aeqa5n5u7xy,30
259,terra12ac7gl6zs6k02qvr0le9mkdky89pmfzdm0qyzq,13
260,terra12ae98kcahp3e2dltc0470xf3tw59wxkrjwnd8p,7
261,terra12apse7j29wtn6xxsdxftlksjtuc3vf0yu3522x,1
262,terra12arel0nqev2je53hzxctu338ttx9akegkcdzzy,7
263,terra12au7zk3fxamu2rfe35nqgu9a6ckhz3x0esv8x0,4
264,terra12avt8tvvkdd4ner2g9t0uv5rcyj85k0dzaxf34,30
265,terra12axq40xezakuam8nsxgykum3k3ya2p0dteq6q4,17
266,terra12ayg0q789ppd08040mczhlg0tferuu7avv6guk,2
267,terra12c6ddlsaccquqn88ct9es4kkd6w8gelr9l2c9x,4
268,terra12cc20mp9amdgl650tydc73h34k98g5n5furtgx,11
269,terra12cc29jj7kzzjzjp7ethregyjeh24ght45d4zzf,2
270,terra12dclkmtv9g0ps7t4rwv4lwwtvxtrmp6plcjwkq,18
271,terra12dkfpgardecach5ycmj5ppcgrx08vs0nesl89n,2
272,terra12dm0svdnrug5duph8yar892dz60xrjh9vfcsvd,13
273,terra12dyfrgl4xdcz6tqc7ddw07m4ms7xve5dgl6ex7,6
274,terra12e5mdqcvnrdg8sv7v7v5r97hvxz7x7l4t4zkyn,22
275,terra12e98lr4kl86g48y394fxt9ygacnhvtmpwtj4qe,28
276,terra12ejpecledfx0tewz03unme7t2d8qwe86l5vg8x,27
277,terra12elqsyrpmf7x0xmsfsc0r38m98k6l8uhkf3msp,27
278,terra12ep8y44huxdxmkwx34zmq8y3vqfe6ep0quk7kx,26
279,terra12fegtvz3z6fg80gvp35nt7hsvzru4jkmdfldfq,6
280,terra12fju7zwgu2ak9a63j6z7028wt522atu4p4pyu8,22
281,terra12fk6s7lyk9uhh0gzkkhl8r6c9sn0hrfzy5g920,28
282,terra12fs583js4hy40vy4u2mddy9qhqcn66rx0mspmf,19
283,terra12fx2exq9sw0qazzlt4n9gpvmg6u7smmhcjgu9q,25
284,terra12g55sen7vvfwdtrlzpgrdtartmp643s6wzxetu,24
285,terra12g6lt9nxmqk2y00jeazrm0l484tts06p3p0pjq,24
286,terra12g9fywagnwqnaufqekzalvdwwy5te5ydrldlgv,10
287,terra12ge6tcne06586se7ex439np5e7nmex7wvncf9y,22
288,terra12gn59sj39032gtppkm66x3v53ahvu3qyu4xv2k,4
289,terra12gstuntpp4pv6vz2xs46cm5ql9yul32cta2v3v,29
290,terra12gvsntgtnuqh4ce3kkktww6zup2m4umqrq3fpg,22
291,terra12h6ddakss4hk7kweh5ldnpdkmdm2gyftnm7qv0,28
292,terra12hcla693ht2ar6uaf5yxftyfussr3836j02nvx,20
293,terra12hd94zchtj7fc3c8mewhrey2qcamgw4kkk4r5n,2
294,terra12her38t0vcekkxlycnfy4qnpsze5claazz3zl7,12
295,terra12hgny3c7puqgl5h0sjngjazuly8lrj20uvf6ul,20
296,terra12hjzrwvntaxndt2fwl3j0qyw7vqjr96d0j5qpr,30
297,terra12hk779frwsm0h6pactvjs083pf95u4kpflgn27,1
298,terra12hn7ecn8zhd7wq2dp3t3a2jq5mfe6srqx2skyx,19
299,terra12hraymww3ygp42y726y2e48cw7skzt4r00ja5t,23
300,terra12hx7068et56uv5y8pvpvmcka5vg4rudna7s6h6,25
301,terra12j2lnkcp473aetenadd838hyamkgume7mcwzgl,7
302,terra12j3wtau0fu88fvnarjwc9kvgel36cu66ku4vgz,26
303,terra12jkk8lwcjy45fktn7w92gh275g9k8pa8j0tyg7,1
304,terra12jlm8er9t2quz89smktqkqsfhpkdtd7xejtznq,26
305,terra12jqvxqr8vs4nrpx8fdk466nljwrydezfw7zaeg,2
306,terra12juhvwtr9k05h0dzgf4qp4qjzcgcl33ks9vy4h,13
307,terra12jzg9l6ndjaasd58gzzznvt4ulkg6ac3h6wgqd,30
308,terra12k3lkkjr9grykw9vfgv070jkfyf6gf6ym4tgnh,24
309,terra12k7xxnvyy305pgtuez7mtnpkwupgru59tjaree,25
310,terra12kk3htwvnsln45dmp6hhsdjeg57ad3ka8wwxxg,29
311,terra12kxvg3c8w95xxuuntlual6cvvj7j92ghzw85hw,9
312,terra12l3z7khxekkfcghn7ffw9z5xaejjsuc52hwj74,2
313,terra12lt0a7jcmku3njqek0w5warrgtd0m9fypfz37e,10
314,terra12lt7l0et8v4flt5ccj0dzyw2cgzwq2zqnqe7qa,10
315,terra12m4pn8feap6c2fkxcptrlteqmd5m5ysxjz58z0,18
316,terra12mjnjyfsj75jy7ysjezqu7ghkcf52z8v7u28sn,9
317,terra12mpnvg5rg8f34ud77avqftanlsna7lehrqxr48,9
318,terra12mvh6r4d30a7e60645ral9mvasjwqv50c6tg6c,24
319,terra12mzahsms2s347hk0ha53fnlsvn0hr4lh9px8pk,27
320,terra12n5s4uhmquh45c297tzk4v2fkkdrapctfs6286,5
321,terra12n9p6n98mkfwj3dhq5ymgupga4jpetjrcyv5ng,1
322,terra12ncux8y4d8tzz2udr4jtuxwaaeq5cqgss3f8hc,2
323,terra12nlskf7v2w77ce72788jh6m8xcc3wwd9lsk2n5,2
324,terra12nthn5gc4qsmsaqgkujzs8c2z9ymsq00u3prmu,3
325,terra12nzg8743ummhmnmvf70vn4a0r8g2ctudsk05lh,30
326,terra12p33huxccxt54mfd852h2q8hsajhgp3kw8u7x7,16
327,terra12p72n0u4wclh9e6lw8t06g8fupl676xr7hsvyu,22
328,terra12p7lye5uukqhvf325xllztclk6u4clunqez3vh,10
329,terra12p8kf00t8yk27clqmztgqxdpfpg4mhtmw9y8f6,24
330,terra12p9xleky8sxrct4ryvm9n8u2wawxmeheqawg3p,18
331,terra12ped9sup5ruhull7c22jzleq3sqduzzp43n0nq,8
332,terra12pf2ls6xahr4madnx698rd82rh72vmx9vg85lu,30
333,terra12pgr9w36yfay5ygqgklj3p6c65rsksg3ec7qf0,18
334,terra12pkenxr4prs84wsyqguh7xfk4vptvxt2h2uut0,2
335,terra12plgtfg565hr3ztegpvq4m79wcr6d2du27vzj4,27
336,terra12plxxe78xxt048gvsu6278yu5g4vl2ru6kg434,1
337,terra12pu57s8c6cvmykczgqlv4uknzzgac6er3cfyqv,10
338,terra12pvx2k22gnqh5rd3rqj4qj6cdrx6qpx9jlkaa4,8
339,terra12q4uktsscu4504lsg6s8r6vk4xxwwg7u2lfhgz,11
340,terra12q5c5h8a80fl6qnmlmjvyvz9839gy89pp5qkq6,4
341,terra12qqln6sl8r9whf6dcr8h0hlskfessrwsgmkl0n,24
342,terra12qwhq2ve2funtunlantafl0lvsl4myjxssf5ke,2
343,terra12r4s0tthc9dek9kzyczf5ahlxafznd6l032dh3,2
344,terra12rd65vl8rsdkazxz6yf7c6y9z2eh4ktr3zkzqa,26
345,terra12rsj0asyd5p4y3t37fquuhp0t3a5jedq3jh058,2
346,terra12rz9rl8tjxmeze3yl7lhuqawtwd6uaf5ehcstc,15
347,terra12shk4evnula8wefnr6u8889mq24rksft8t3rds,25
348,terra12shz94fc5flqysuf5rnhuxektznah6n00jv3pp,21
349,terra12suz6keh6mk3enfppc4xz4k29twsj7ptxveqf5,2
350,terra12t3tuaenyhshcwfqzx6h92jehsq66psarn2d59,26
351,terra12t6kvzgndcv6qcm8g2909r23xfudm677phafjp,5
352,terra12t89w2ppkk8ptvtx5zhhaxklnjzcaj42nhsgmr,23
353,terra12tjwta7e7lqxetlvxkfkhexrmmxqqr7avamkv4,2
354,terra12tk27ugq788hzhchdffs7h0g5wwjfmcrvzw2d3,19
355,terra12tueqcenydfyqxnwurg5vmume7lvfnxdeaqhz2,30
356,terra12u005uhmepdul8kfvd903z2djkk5wzrl0aaaf5,1
357,terra12u3dtlxva69u2npxj6ln7kv53q86rh8e4895z9,2
358,terra12u9t55uxfmkd8c4mzpeatvnjmyvuj5ges50hjy,27
359,terra12un3rg3c65fhh7l24922vqg2zjqe9dvd5x6s9r,27
